,dialog
0,Who's that stumbling around in the dark?
1,State your business or prepare to get winged!
2,"Calm yourselves, gentlemen."
3,I mean you no harm.
4,I'm simply a fellow weary traveler.
5,Oh boy.
6,"Good cold evening, gentlemen."
7,I'm looking for a pair of slave traders that go by the name of the Speck Brothers.
8,Might that be you?
9,Who wants to know?
10,"Well, I do."
11,I'm Dr. King Schultz.
12,"This is my horse, Fritz."
13,What kinda doctor?
14,Dentist.
15,"Now, are you the Speck Brothers?"
16,And did you purchase those men at the Greenville slave auction?
17,So what?
18,So I wish to parley with you.
19,Speak English.
20,Oh sorry.
21,Please forgive me.
22,It is a second language.
23,"Now, amongst your inventory, I've been led to believe, is a specimen I'm keen to acquire."
24,"Hello, you poor devils!"
25,Is there one amongst you who was formerly a resident of the Carrucan plantation?
26,I'm from the Carrucan plantation.
27,Who said that?
28,What's your name?
29,Django.
30,Then you are exactly the one I'm looking for.
31,Do you know who the Brittle Brothers are?
32,Who are they?
33,Big John.
34,Ellis.
35,Roger.
36,Sometime they call him...
37,Lil Raj.
38,They was overseers at the Carrucan plantation.
39,Not anymore.
40,Tell me...
41,"if you were to see any of these three gentlemen again, would you recognize them?"
42,Hey.
43,Stop talking to him like that.
44,Like What?
45,Like that.
46,"My good man, I'm simply trying to ascertain..."
47,"Speak English, goddamn it."
48,Everybody calm down.
49,"I'm simply a customer, trying to conduct a transaction."
50,I don't care.
51,"No sale. Now, off with you."
52,Don't be ridiculous.
53,Of course they're for sale.
54,Move it.
55,"My good man, did you simply get carried away with your dramatic gesture or are you pointing your weapon at me with lethal intention?"
56,"Last chance, fancy pants."
57,"Oh, very well."
58,"I'm sorry to put a bullet in your beast, but I didn't want you to do anything rash before you had a moment to come to your senses."
59,You goddamn son of a bitch!
60,You shot Roscoe!
61,Well...
62,And you killed Ace!
63,I only shot your brother once he threatened to shoot me.
64,And I do believe I have...
65,"one, two, three, four..."
66,"five witnesses, who can attest to that fact."
67,Damn leg's busted!
68,No doubt.
69,"Now, if you could keep your caterwauling down to a minimum, I'd like to finish my line of inquiry with young Django."
70,Godfuckingdamn it!
71,As I was saying...
72,"if you were to see the Brittle Brothers, again you could recognize them?"
73,Yeah.
74,Sold American!
75,"So, Mr. Speck?"
76,Mr. Speck?
77,How much for young Django here?
78,That iron is nasty business.
79,"Oh, could you hold this for a moment?"
80,Thank you.
81,Django?
82,Get up on that horse.
83,"Also, if I were you, I'd take that winter coat the dear departed Speck left behind."
84,Nigger!
85,Don't you touch my brother's coat.
86,Goddamn it!
87,One hundred...
88,ten...
89,and five...
90,for young Django here.
91,"And since he won't be needing it anymore, I'd like to purchase your brother's nag."
92,"Also, Mr. Speck, I'm afraid I will require a bill of sale."
93,Do you have one?
94,"You go to hell, dentist."
95,I thought not.
96,No worries.
97,I come prepared.
98,Thank you.
99,"This will serve nicely, as a bill of sale."
100,"Now, as to you poor devils."
101,"So, as I see it, when it comes to the subject of what to do next, you gentlemen have..."
102,two choices.
103,One.
104,"Once I'm gone, you could lift that beast off the remaining Speck, then carry him to the nearest town."
105,Which would be at least Or two.
106,"You could unshackle yourselves, take that rifle, put a bullet in his head, bury the two of them deep, and then make your way to a more enlightened area of this country."
107,Choice is yours.
108,"And on the off chance there are any astronomy aficionados amongst you, the North Star is that one."
109,Tada.
110,"Now wait a minute, fellas."
111,Let's talk about this!
112,You got to be reasonable in a situation like this!
113,I'm not a bad guy.
114,I'm just doing my job!
115,"Blueberry, didn't I give you my last apple?"
116,"Tell you what, boys."
117,"Take me to the doc in El Paso, I'll get you your freedom."
118,"No. No, please..."
119,"Alright, now."
120,"I'd like you to take two of these tonight, and then in the morning..."
121,That's a nigger on a horse.
122,What's everybody staring at?
123,They ain't never seen no nigger on a horse before.
124,"Good morning, innkeeper!"
125,Two beers for two weary travelers.
126,It's still a bit early.
127,We won't be open for another hour.
128,"By then, we'll be serving breakfast."
129,"What the hell you think you're doing, boy?"
130,Get that nigger outta here!
131,Help! Help!
132,Innkeeper!
133,"Remember, get the sheriff, not the marshal."
134,Sheriff! Help!
135,Alas.
136,Now we must act as our own bartender.
137,"Sit down, my boy."
138,What kind of dentist are you?
139,"Despite that cart, I haven't practiced dentistry in five years."
140,"But these days, I practice a new profession..."
141,bounty hunter.
142,Do you know what a bounty hunter is?
143,No.
144,Well...
145,"the way the slave trade deals in human lives for cash, a bounty hunter deals in corpses."
146,Hat.
147,Prost.
148,The state places a bounty on a man's head.
149,"I track that man, I find that man, I kill that man."
150,"After I've killed him, I transport that man's corpse back to the authorities."
151,Sometimes that's easier said than done.
152,"I show that corpse to the authorities, proving yes, indeed, I truly have killed him, at which point the authorities pay me the bounty."
153,"So, like slavery, it's a flesh for cash business."
154,What's a bounty?
155,It's like a reward.
156,You kill people?
157,And they give you a reward?
158,"Certain people, yeah."
159,Bad people?
160,"Badder they are, bigger the reward."
161,Which brings me to you.
162,"And I must admit, I'm at a bit of a quandary when it comes to you."
163,"On one hand, I despise slavery."
164,"On the other hand, I need your help."
165,"If you're not in a position to refuse, all the better."
166,"So, for the time being, I'm gonna make this slavery malarkey work to my benefit."
167,"Still, having said that, I feel guilty."
168,"So, I would like the two of us to enter into an agreement."
169,I'm looking for the Brittle Brothers.
170,"However, at this endeavor, I'm at a slight disadvantage, insofar as I don't know what they look like."
171,But you do.
172,Don't ya?
173,I know what they look like alright.
174,Good.
175,So here's my agreement.
176,You travel with me until we find them.
177,Where we going?
178,"I hear at least two of them are overseeing up in Gatlinburg, but I don't know where."
179,That means we visit every plantation in Gatlinburg till we find them.
180,"And when we find them, you point them out, and I kill them."
