,dialog
0,Forget it. It's too risky.
1,I'm through doing that shit.
2,You always say that.
3,The same thing every time.
4,"""I'm through, never again, too dangerous."" I know that's what I always say."
5,I'm always right too.
6,You forget about it in a day or two.
7,The days of me forgetting are over.
8,The days of me remembering have just begun.
9,"You know, when you go on like this, what you sound like?"
10,I sound like a sensible fuckin' man.
11,You sound like a duck.
12,"Quack, quack, quack."
13,"Take heart, 'cause you're never gonna have to hear it again."
14,"Since I'm never gonna do it again, you're never gonna have to hear me quack."
15,After tonight?
16,Correct.
17,I got all tonight to quack.
18,Can I get anyone more coffee?
19,"Oh, yes!"
20,Thank you.
21,You're welcome.
22,"I mean, the way it is now, you're takin' the same risk as when you rob a bank."
23,Takin' more of a risk.
24,Banks are easier.
25,Federal banks ain't supposed to stop you in any way during a robbery.
26,They're insured. Why should they give a fuck? I don't even need a gun in a federal bank.
27,"Heard about this one bloke, he walks into a bank with a portable phone."
28,He gives the phone to a teller.
29,"The bloke on the other end says, ""We got this guy's little girl."
30,"If you don't give him all your money, we're gonna kill her."" Did it work?"
31,Fuckin' right it worked.
32,That's what I'm talkin' about.
33,"Knucklehead walks into a bank with a telephone, not a pistol, not a shotgun, a fuckin' phone."
34,Cleans the place out.
35,They don't lift a fuckin' finger.
36,Did they hurt the little girl?
37,There probably never was a little girl.
38,The point of the story isn't a little girl.
39,The point of the story is they robbed a bank with a telephone.
40,You want to rob banks?
41,I'm not saying I wanna rob banks.
42,"I'm illustrating if we did, it'd be easier than what we've been doing."
43,No more liquor stores?
44,What've we been talkin' about?
45,"Yeah, no more liquor stores."
46,"Besides, it ain't the giggle it used to be."
47,There's too many foreigners own liquor stores.
48,"Vietnamese, Koreans, don't even speak fuckin' English."
49,"You tell 'em empty out the register, they don't know what you're talkin' about."
50,They make it too personal.
51,"We keep on, one of these gook fuckers gonna make us kill him."
52,I'm not gonna kill anybody.
53,I don't want to either.
54,But they'll probably put us in a situation where it's us or them.
55,"And if it's not the gooks, it's these old fuckin' Jews who've owned the store for 15 fucking generations."
56,You got Grandpa Irving sitting behind the counter with a fucking Magnum in his hand.
57,Try walkin' into one of those places with nothing but a phone.
58,See how far that gets you.
59,Forget it.
60,We're out of it.
61,"Well, what then, day jobs?"
62,Not in this life.
63,What then?
64,"Gar  on, coffee!"
65,This place.
66,"""Gar  on"" means boy."
67,This place?
68,A coffee shop?
69,What's wrong with that?
70,Nobody ever robs restaurants.
71,Why not?
72,"Bars, liquor stores, gas stations; you get your head blown off stickin' up one of them."
73,"Restaurants, on the other hand, you catch with their pants down."
74,They're not expectin' to get robbed.
75,Not as expectin' anyway.
76,I bet you could cut down on the hero factor in a place like this.
77,Correct.
78,"Same as banks, these places are insured."
79,Manager.
80,He don't give a fuck.
81,They're just trying to get you out before you start pluggin' the diners.
82,Waitresses. Fuckin' forget it.
83,No way they're takin' a bullet for the register.
84,Busboys. Some wetback gettin' paid $1.50 an hour...
85,really give a fuck you're stealin' from the owner?
86,"Customers sittin' there with food in their mouths, they don't know what's goin' on."
87,"One minute, they're havin' a Denver omelet, the next, someone is stickin' a gun in their face."
88,"See, I got the idea the last liquor store we stuck up, remember?"
89,All the customers kept comin' in.
90,Yeah.
91,You got the idea of takin' their wallets.
92,"Now, that was a good idea."
93,Thank you.
94,Made more from the wallets than we did from the register.
95,"Yes, we did."
96,A lot of people come to restaurants.
97,A lot of wallets.
98,"Pretty smart, huh?"
99,Pretty smart.
100,I'm ready. Let's do it.
101,"Right now, right here."
102,Come on.
103,"All right. Same as last time, remember?"
104,You're crowd control.
105,I'll handle the employees.
106,"I love you, pumpkin."
107,"I love you, honey bunny."
108,Everybody be cool!
109,This is a robbery!
110,"Any of you fucking pricks move, and I'll execute every motherfuckin' last one of you."
111,"       ""MISIRLOU"" RADIO DIAL TUNING        ""JUNGLE BOOGIE""     Jungle boogie         Get down with the boogie         Jungle boogie         Get it on         Jungle boogie         Get down with the boogie         Jungle boogie         Get it on         Jungle boogie         Get up with the boogie         Jungle boogie         Get up with the get down         Jungle boogie         Get down and boogie         Jungle boogie         Shake it around        Okay, so tell me again about the hash bars."
112,"Okay, what you want to know?"
113,"Hash is legal there, right?"
114,"Yeah, it's legal, but it ain't 100% legal."
115,"You just can't walk into a restaurant, roll a joint and start puffin' away."
116,"I mean, they want you to smoke in your home or certain designated places."
117,Those are hash bars?
118,Yeah.
119,It breaks down like this.
120,It's legal to buy it.
121,It's legal to own it.
122,"And if you're the proprietor of a hash bar, it's legal to sell it."
123,"It's illegal to carry it, butbut that doesn't matter, 'cause get a load of this."
124,"If you get stopped by a cop in Amsterdam, it's illegal for them to search you."
125,"I mean, that's a right the cops in Amsterdam don't have."
126,"Oh, man! I'm goin'."
127,That's all there is to it.
128,I'm fuckin' goin'.
129,"I know, baby."
130,You'd dig it the most.
131,But you know what the funniest thing about Europe is?
132,What?
133,It's the little differences.
134,"I mean, they got the same shit over there that they got here, but it's just there, it's a little different."
135,Example...
136,You can walk into a movie theater in Amsterdam and buy a beer.
137,And I don't mean just like no paper cup.
138,I'm talkin' about a glass of beer.
