number_of_dialog,start_time,end_time,dialog
1,"00:04:03,748","00:04:05,875",Derek.
2,"00:04:11,464","00:04:13,425",What the fuck are you thinking?
3,"00:04:13,466","00:04:16,428",There's a black guy outside breaking into your car.
4,"00:04:16,469","00:04:18,805",How long has he been there?
5,"00:04:18,840","00:04:20,223",I don't know.
6,"00:04:20,265","00:04:21,558",What's going on?
7,"00:04:21,599","00:04:23,977","Not right now, honey. How many?"
8,"00:04:24,019","00:04:25,312","Danny, how many?"
9,"00:04:25,353","00:04:26,604","One, I think."
10,"00:04:26,646","00:04:28,648",Is he strapped?
11,"00:04:28,690","00:04:30,066",Does he have a gun?
12,"00:04:30,108","00:04:31,776",I don't fucking know.
13,"00:04:33,528","00:04:35,947",Wait a second. What the fuck is going on?
14,"00:04:35,989","00:04:38,325",Stay right here and be quiet.
15,"00:04:38,366","00:04:40,869","Wait a second, Derek. Wait."
16,"00:04:46,082","00:04:47,375",Stay right here.
17,"00:06:29,102","00:06:31,062",I don't have a personal problem with him.
18,"00:06:31,104","00:06:33,231","Don't insult my intelligence, Murray."
19,"00:06:33,273","00:06:36,318","You hate this child, and I think I know why."
20,"00:06:42,198","00:06:44,242",Dr. Sweeney's office.
21,"00:06:44,284","00:06:46,536",I went out with his mother a few times.
22,"00:06:46,578","00:06:48,747",That was three years ago. It was nothing.
23,"00:06:48,788","00:06:50,290",Nothing. Really?
24,"00:06:50,332","00:06:53,543","That paper- Bob, it's a travesty."
25,"00:06:53,585","00:06:56,671",Arguing for Hitler as a civil rights hero.
26,"00:06:56,713","00:06:58,131",You've got to draw the line.
27,"00:07:02,052","00:07:04,971",on any book that related to the struggle for civil rights...
28,"00:07:05,006","00:07:06,438",in plain English.
29,"00:07:06,473","00:07:10,310",I am not disputing the fact that the child is confused...
30,"00:07:10,345","00:07:12,277",and harbors some sick ideas...
31,"00:07:12,312","00:07:15,065",but I am not ready to give up on him yet.
32,"00:07:15,106","00:07:17,817",His brother probably put him up to it.
33,"00:07:17,859","00:07:20,195",I guarantee you 100%%...
34,"00:07:20,236","00:07:22,405",his brother did not put him up to this.
35,"00:07:22,447","00:07:24,491",I find that hard to believe.
36,"00:07:24,532","00:07:26,242",I know he was a good kid...
37,"00:07:26,284","00:07:28,995","and it's a shame what he's been through, but that's dangerous."
38,"00:07:29,037","00:07:30,830",Dangerous in what way?
39,"00:07:30,872","00:07:32,666",That goes too far.
40,"00:07:32,707","00:07:36,544","This racist propaganda, ""Mein Kampf"" psychobabble..."
41,"00:07:36,586","00:07:39,881","he learned this nonsense, and he can unlearn it, too."
42,"00:07:39,923","00:07:42,717",I will not give up on this child yet.
43,"00:08:00,276","00:08:01,611",I knew it was you.
44,"00:08:01,653","00:08:03,697","Danny, get in here."
45,"00:08:03,738","00:08:05,991",I said get in here!
46,"00:08:06,032","00:08:07,332",Get in here!
47,"00:08:07,367","00:08:10,328","Five, four, three, two..."
48,"00:08:10,370","00:08:12,247",Shut the door!
49,"00:08:15,166","00:08:16,668","What's it gonna be, Danny?"
50,"00:08:17,794","00:08:19,337",What's what gonna be?
51,"00:08:19,379","00:08:21,548",This petty crap you're pulling.
52,"00:08:23,925","00:08:25,176",I don't know.
53,"00:08:25,218","00:08:26,720",Have a seat.
54,"00:08:32,600","00:08:34,060",How are you doing?
55,"00:08:36,479","00:08:37,981",Fine.
56,"00:08:39,232","00:08:40,984",Things at home OK?
57,"00:08:46,072","00:08:48,700","Derek got out this morning, did he not?"
58,"00:08:50,869","00:08:52,711","Yeah, he did."
59,"00:08:52,746","00:08:55,749","He was one of my students. You knew that, right?"
60,"00:08:55,784","00:08:57,584",Honors English.
61,"00:08:57,625","00:09:02,317",He was a brilliant student like you...
62,"00:09:02,352","00:09:07,010","but he hung out with fools, also like you."
63,"00:09:07,052","00:09:09,179",Did you bring me in here to talk about Derek?
64,"00:09:09,220","00:09:11,723",What happened to him has nothing to do with me.
65,"00:09:11,765","00:09:15,852",Everything you do right now has something to do with Derek.
66,"00:09:15,894","00:09:18,104","I followed directions. I wrote an ""A"" Paper."
67,"00:09:18,146","00:09:20,690","""Mein Kampf""?"
68,"00:09:22,067","00:09:23,693",I should expel you.
69,"00:09:23,735","00:09:26,404",Go ahead. You don't think I could handle it?
70,"00:09:26,446","00:09:28,657",No. I think the street would kill you.
71,"00:09:28,698","00:09:30,742",Your rhetoric and your propaganda...
72,"00:09:30,784","00:09:32,911",aren't going to save you out there.
73,"00:09:34,287","00:09:35,622",So here's the drill.
74,"00:09:36,790","00:09:39,000",I'm your history teacher from now on.
75,"00:09:39,042","00:09:42,754",We will discuss current events.
76,"00:09:42,796","00:09:46,091",We will call this class...
77,"00:09:46,132","00:09:49,260",American History X.
78,"00:09:49,302","00:09:52,263",We meet once a day.
79,"00:09:52,305","00:09:54,606",All right. Your first assignment...
80,"00:09:54,641","00:09:57,108",is to prepare for me a new paper due tomorrow.
81,"00:09:57,143","00:10:00,855","Come on, Sweeney. It took me a week to read ""Mein Kampf."""
82,"00:10:10,907","00:10:12,742",What do you want me to do it on?
83,"00:10:12,784","00:10:15,126",Your brother.
84,"00:10:15,161","00:10:17,288","Oh, God, man. Please tell me you're joking."
85,"00:10:17,330","00:10:19,708",No. I'm not kidding.
86,"00:10:19,749","00:10:23,294",I want you to analyze and interpret all the events...
87,"00:10:23,336","00:10:25,130",surrounding Derek's incarceration.
88,"00:10:25,171","00:10:28,925",How these events helped shape your present perspective...
89,"00:10:28,967","00:10:32,178",concerning life in contemporary America.
90,"00:10:32,220","00:10:36,057","The impact on your life, your family's."
91,"00:10:38,685","00:10:41,187","Whatever you want to say, Danny."
92,"00:10:43,773","00:10:46,776",I'll be the only one reading it.
93,"00:10:47,944","00:10:53,074",But if it's not on my desk tomorrow morning...
94,"00:10:53,116","00:10:56,494",you are a ghost at Venice Beach High.
95,"00:10:57,871","00:10:59,164",You clear?
96,"00:11:00,165","00:11:02,208","Yeah, I'm clear."
97,"00:11:07,672","00:11:09,174",Telling teacher I'm fucking cheating!
98,"00:11:09,215","00:11:10,842",Is that what's happening?
99,"00:11:12,010","00:11:13,678",I never cheated in my life.
100,"00:11:13,720","00:11:15,221",Beat his motherfucking ass.
101,"00:11:15,263","00:11:16,514",I didn't say anything!
102,"00:11:16,556","00:11:17,849",Why you tripping on me?
103,"00:11:20,268","00:11:23,480",Now why you all kicking it like that?
104,"00:11:23,521","00:11:25,363","What's up, man?"
105,"00:11:25,398","00:11:28,360",What you scared for? I ain't gonna do nothing.
106,"00:11:35,575","00:11:37,452",What's up?
107,"00:11:37,494","00:11:41,164","Want some, too, bitch? Punk, what's wrong with you?"
108,"00:11:41,206","00:11:42,624",You want to die?
109,"00:11:44,459","00:11:46,002",Punk-ass white boy.
110,"00:11:52,759","00:11:56,721",You lucky I gotta go to class. He ain't gonna do nothing.
111,"00:11:56,763","00:11:59,641",He don't wanna see me and the heater.
112,"00:12:01,393","00:12:02,644",Lucky the bell rung.
113,"00:12:02,686","00:12:04,562",I would have clocked that white boy.
114,"00:12:04,604","00:12:07,399",Punk-ass motherfucker. Should smoke that fool.
