number_of_dialog,start_time,end_time,dialog
1,"00:00:28,372","00:00:32,500",Forget it. It's too risky. I'm through doing that shit.
2,"00:00:32,584","00:00:35,044",You always say that. The same thing every time.
3,"00:00:35,128","00:00:38,047","""I'm through, never again, too dangerous."""
4,"00:00:38,131","00:00:40,591",I know that's what I always say. I'm always right too.
5,"00:00:40,717","00:00:44,095",-You forget about it in a day or two. -The days of me forgetting are over.
6,"00:00:44,179","00:00:46,264",The days of me remembering have just begun.
7,"00:00:46,348","00:00:48,432","You know, when you go on like this, what you sound like?"
8,"00:00:48,559","00:00:51,561",-I sound like a sensible fuckin' man. -You sound like a duck.
9,"00:00:51,687","00:00:55,147","-Quack, quack, quack. -Take heart, 'cause you're never gonna have to hear it again."
10,"00:00:55,232","00:00:58,651","Since I'm never gonna do it again, you're never gonna have to hear me quack."
11,"00:00:58,777","00:01:03,447",-After tonight? -Correct. I got all tonight to quack.
12,"00:01:03,574","00:01:06,409","-Can I get anyone more coffee? <i>-Oh, yes!</i>"
13,"00:01:08,245","00:01:10,788",-Thank you. -You're welcome.
14,"00:01:10,873","00:01:13,958","I mean, the way it is now,"
15,"00:01:14,042","00:01:16,836",you're takin' the same risk as when you rob a bank.
16,"00:01:16,920","00:01:18,963",Takin' more of a risk. Banks are easier.
17,"00:01:19,047","00:01:22,049",Federal banks ain't supposed to stop you in any way during a robbery.
18,"00:01:22,134","00:01:26,345",They're insured. Why should they give a fuck? I don't even need a gun in a federal bank.
19,"00:01:26,430","00:01:29,891","Heard about this one bloke, he walks into a bank with a portable phone."
20,"00:01:29,975","00:01:32,935","He gives the phone to a teller. The bloke on the other end says,"
21,"00:01:33,020","00:01:36,564","""We got this guy's little girl. If you don't give him all your money, we're gonna kill her."""
22,"00:01:36,648","00:01:39,442",-Did it work? -Fuckin' right it worked. That's what I'm talkin' about.
23,"00:01:39,526","00:01:45,323","Knucklehead walks into a bank with a telephone, not a pistol, not a shotgun, a fuckin' phone."
24,"00:01:45,449","00:01:50,036",-Cleans the place out. They don't lift a fuckin' finger. -Did they hurt the little girl?
25,"00:01:50,120","00:01:53,831",There probably never was a little girl. The point of the story isn't a little girl.
26,"00:01:53,916","00:01:56,876",The point of the story is they robbed a bank with a telephone.
