number_of_dialog,start_time,end_time,dialog
1,"00:00:31,776","00:00:37,239",There's a bunch of birds in the sky
2,"00:00:37,740","00:00:43,328",And some deers just went running by
3,"00:00:43,413","00:00:46,456","Oh, the snow's pure and white"
4,"00:00:46,541","00:00:51,086","On the earth, rich and brown"
5,"00:00:51,170","00:00:54,339",Just another Sunday morning
6,"00:00:54,424","00:00:59,720",In my quiet mountain town
7,"00:01:03,099","00:01:05,267",The sun is shining and the grass is green
8,"00:01:05,351","00:01:07,561","Under the three feet of snow, I mean"
9,"00:01:07,645","00:01:11,064",This is the day when it's hard to wear a frown
10,"00:01:11,149","00:01:13,317",All the happy people stop to say hello
11,"00:01:13,401","00:01:14,401",Get out of my way!
12,"00:01:14,485","00:01:16,278",Even though the temperature's low
13,"00:01:16,362","00:01:21,116",It's a perfect Sunday morning in my quiet little mountain town
14,"00:01:21,200","00:01:22,576","Well, good morning, Stan."
15,"00:01:22,660","00:01:25,037","- Mom, can I have $8 to see a movie? - A movie?"
16,"00:01:25,121","00:01:27,956","Yeah, it's gonna be the best movie ever! It's a foreign film from Canada!"
17,"00:01:28,041","00:01:29,166","All right, here you go."
18,"00:01:29,250","00:01:31,877","- But be back for supper. - Thanks, Mom."
19,"00:01:32,128","00:01:34,254","Oh, what a picture-perfect child"
20,"00:01:34,339","00:01:36,590","Just like Jesus, he's tender and mild"
21,"00:01:36,674","00:01:40,177",He'd wear a smile while he wore a thorny crown
22,"00:01:40,261","00:01:42,971",What an angel with a heart so sweet and sure
23,"00:01:43,056","00:01:45,223",And a mind so open and pure
24,"00:01:45,308","00:01:49,686",Thank God we live in this quiet redneck mountain town
25,"00:01:50,063","00:01:52,064","Dude! Dude, wake up!"
26,"00:01:55,026","00:01:56,610","Kenny, come on!"
27,"00:01:57,862","00:02:00,697","Kenny, the Terrance and Phillip movie is out. You wanna come?"
28,"00:02:02,033","00:02:03,700",Where do you think you're going?
29,"00:02:04,869","00:02:06,995",You can't! You have to go to church!
30,"00:02:08,289","00:02:10,540","Well, fine, you go ahead and miss church!"
31,"00:02:10,625","00:02:14,753","And then when you die and go to hell, you can answer to Satan!"
32,"00:02:15,922","00:02:18,215",You can see your breath hanging in the air
33,"00:02:18,299","00:02:20,300",You see homeless people but you just don't care
34,"00:02:20,385","00:02:23,971",It's a sea of smiles in which we'd be glad to drown
35,"00:02:28,768","00:02:30,477",That's right It's Sunday morning
36,"00:02:30,561","00:02:34,815",In our quiet little white-bread redneck mountain town
37,"00:02:36,359","00:02:39,069","- Ready, Ike? Kick the baby! - Don't kick the baby."
38,"00:02:39,153","00:02:40,153",Kick the baby.
39,"00:02:41,572","00:02:46,493","Ike, you broke another window! That's a bad baby! Bad baby!"
40,"00:02:46,577","00:02:49,204","Kyle, we're going to the Terrance and Phillip movie!"
41,"00:02:49,288","00:02:50,372","Oh, my God, dude!"
42,"00:02:50,456","00:02:53,333","- Kyle, where are you going? - Uh... We're going ice skating."
43,"00:02:53,418","00:02:55,168","Well, take your little brother out with you."
44,"00:02:55,253","00:02:57,295","Oh, Mom. He's not even my real brother. He's adopted!"
45,"00:02:57,380","00:02:58,588","Do as I say, Kyle!"
46,"00:02:58,673","00:03:00,549",Okay! Okay! I'm sorry!
47,"00:03:02,093","00:03:04,094",Look at those frail and fragile boys
48,"00:03:04,178","00:03:06,430",It really gets me down
49,"00:03:06,514","00:03:10,851",The world is such a rotten place and city life's a complete disgrace
50,"00:03:10,935","00:03:13,353","That's why I moved to this redneck, meshugana"
51,"00:03:13,438","00:03:18,984",Quiet mountain town
52,"00:03:19,068","00:03:20,152",Ike! Bad baby!
53,"00:03:21,279","00:03:23,530","This program is brought to you by Snacky Smores,"
54,"00:03:23,614","00:03:25,699",the creamy fun of smores in a delightful cookie crunch.
55,"00:03:25,783","00:03:27,534",Mom! Somebody's at the door!
56,"00:03:27,618","00:03:29,995","- Coming, hon. - I can't see the TV!"
57,"00:03:30,079","00:03:32,247",It's been six weeks since Saddam Hussein was killed
58,"00:03:32,331","00:03:33,540",by a pack of wild boars
59,"00:03:33,624","00:03:35,417",and the world is still glad to be rid of him.
60,"00:03:35,501","00:03:38,295","- Oh! Look, Eric, it's your little friends. - Spider-Man!"
61,"00:03:38,379","00:03:40,589",What are you guys doing here?
62,"00:03:40,673","00:03:43,467","Oh! Sweet, dude! Yes! Yes!"
63,"00:03:43,551","00:03:46,386",Off to the movies we shall go
64,"00:03:46,471","00:03:48,889",Where we learn everything that we know
65,"00:03:48,973","00:03:53,143",'Cause the movies teach us what our parents don't have time to say
66,"00:03:53,227","00:03:56,063",And this movie's gonna make our lives complete
67,"00:03:56,147","00:03:58,356",'Cause Terrance and Phillip are sweet
68,"00:03:58,441","00:03:59,441",Super sweet.
69,"00:03:59,525","00:04:03,737","Thank God we live in the quiet little redneck, Podunk, white-trash"
70,"00:04:04,906","00:04:09,117",U.S.A.
71,"00:04:09,202","00:04:12,746",Can I have five tickets to Terrance and Phillip Asses of Fire?
72,"00:04:12,830","00:04:13,914",No.
73,"00:04:15,958","00:04:16,917","What do you mean, no?"
74,"00:04:17,001","00:04:19,127",Terrance and Phillip Asses of Fire has been rated R
75,"00:04:19,212","00:04:21,129",by the Motion Picture Association of America.
76,"00:04:21,214","00:04:23,215",You have to be accompanied by a parent or guardian.
77,"00:04:23,299","00:04:24,591",- But why? - Because this movie
78,"00:04:24,675","00:04:25,675",has naughty language!
79,"00:04:25,760","00:04:27,385","Next, please."
80,"00:04:28,513","00:04:31,014","- This can't be happening! - We have to see this movie, dude!"
81,"00:04:31,099","00:04:32,933",Screw it! It probably isn't all that good anyway.
82,"00:04:33,017","00:04:35,310","Cartman, what are you talking about? You love Terrance and Phillip!"
83,"00:04:35,394","00:04:38,063","Yeah, but the animation's all crappy."
84,"00:04:39,690","00:04:41,233","Wait, I've got an idea!"
85,"00:04:42,443","00:04:44,945","Hi, I want six tickets to Asses of Fire."
86,"00:04:45,029","00:04:47,405",This movie might not be appropriate for your little ones.
87,"00:04:47,490","00:04:49,699","Hey, he says this movie isn't appropriate for you."
88,"00:04:49,784","00:04:51,785","Look, Mr. Homeless Guy, if you don't wanna buy us tickets"
89,"00:04:51,869","00:04:54,121","and not get your 10 bucks and not go buy yourself a bottle of vodka,"
90,"00:04:54,205","00:04:55,205",then be my guest.
91,"00:04:55,289","00:04:57,082","Six tickets, please."
92,"00:05:00,002","00:05:02,587","- Let me have some candy, Cartman. - Oh! Let's see."
93,"00:05:02,672","00:05:04,214","Nope, I don't have any Jewish candy."
94,"00:05:04,298","00:05:05,966","Like you really need all that chocolate, fat boy!"
95,"00:05:07,135","00:05:09,302",Shh! The movie's starting.
96,"00:05:13,182","00:05:14,141",Hooray!
97,"00:05:14,225","00:05:16,184","Say, Terrance, what did the Spanish priest"
98,"00:05:16,269","00:05:18,103",say to the Iranian gynecologist?
99,"00:05:18,187","00:05:19,646","I don't know, Phillip. What?"
100,"00:05:22,400","00:05:23,984",Where do they come up with this stuff?
101,"00:05:24,068","00:05:25,610","You're such a pig fucker, Phillip!"
102,"00:05:26,779","00:05:27,821",What did he say?
103,"00:05:27,905","00:05:30,240","Terrance, why would you call me a pig fucker?"
104,"00:05:30,324","00:05:32,784","Let's see. First of all, you fuck pigs."
105,"00:05:32,869","00:05:33,827","Oh, yeah!"
106,"00:05:35,037","00:05:36,955",Yeah. Fuck my ass and call me a bitch!
107,"00:05:38,666","00:05:41,293",- Oh! You shit-faced cockmaster! - Wow!
108,"00:05:41,627","00:05:43,253","""Shit-faced cockmaster."""
109,"00:05:43,337","00:05:45,005","Listen, you donkey-raping shit-eater!"
110,"00:05:45,089","00:05:46,298","""Donkey-raping shit-eater."""
111,"00:05:48,342","00:05:51,595",- You'd fuck your uncle. - You'd fuck your uncle!
112,"00:05:52,096","00:05:54,431","Shut your fucking face, uncle fucka"
113,"00:05:54,515","00:05:57,267","You're a cock-sucking, ass-licking uncle fucka"
114,"00:05:57,351","00:06:00,353","You're an uncle fucka, yes, it's true Nobody fucks uncles quite like you"
115,"00:06:00,438","00:06:02,856","Shut your fucking face, uncle fucka"
116,"00:06:02,940","00:06:05,817",You're the one that fucked your uncle Uncle fucka
117,"00:06:05,902","00:06:10,530",You don't eat or sleep or mow the lawn You just fuck your uncle all day long
118,"00:06:20,666","00:06:21,791",What's going on here?
119,"00:06:24,795","00:06:25,921",What garbage.
120,"00:06:26,005","00:06:28,548","Well, what do you expect? They're Canadian."
121,"00:06:31,677","00:06:36,223",Uncle fucka! Uncle fucka! Uncle fucka!
122,"00:06:37,350","00:06:39,643","Shut your fucking face, uncle fucka"
123,"00:06:39,727","00:06:42,437",You're a boner-biting bastard Uncle fucka
124,"00:06:42,521","00:06:44,022","You're an uncle fucka, I must say"
125,"00:06:44,106","00:06:46,024",You fucked your uncle yesterday
126,"00:06:46,108","00:06:47,317",Uncle fucka
127,"00:06:47,401","00:06:49,611",That's U-N-C-L-E
128,"00:06:49,695","00:06:52,447","Fuck you, uncle fucka!"
129,"00:06:52,531","00:06:53,573",Suck my balls.
130,"00:06:58,120","00:07:00,080","Dude, that movie was fucking sweet!"
131,"00:07:00,164","00:07:01,915",You bet your fucking ass it was!
132,"00:07:01,999","00:07:03,750","Fuck, dude, I wanna be just like Terrance and Phillip."
133,"00:07:03,834","00:07:05,126","Hey, wait a minute! Where's your guardian?"
134,"00:07:05,211","00:07:06,253",Huh?
135,"00:07:06,337","00:07:10,131","I knew it! You paid a homeless guy to get you in, didn't you?"
136,"00:07:10,716","00:07:12,759","Fuck off, you donkey-raping shit-eater!"
137,"00:07:12,843","00:07:13,885",Yeah!
138,"00:07:13,970","00:07:16,096","Shut your fucking face, uncle fucka"
139,"00:07:16,180","00:07:18,848",You're an ass-licking Ball-sucking uncle fucka
140,"00:07:24,105","00:07:25,188",Ah!
141,"00:07:27,858","00:07:29,526","Hey, where have you guys been all day?"
142,"00:07:29,610","00:07:32,362",Oh! Nowhere. We just went to go see the Terrance and Phillip movie.
143,"00:07:33,823","00:07:35,240",- You saw it? - How'd you get in?
144,"00:07:35,324","00:07:38,201","Hey, stop crowding us, you shit-faced cockmasters!"
145,"00:07:38,286","00:07:39,452",Wow.
146,"00:07:39,537","00:07:41,955",Yeah. You're all a bunch of ass-ramming uncle fuckers.
147,"00:07:42,039","00:07:43,248",Ooh!
148,"00:07:43,332","00:07:44,958","We have got to see this movie, dude."
149,"00:07:45,042","00:07:48,628","Terrance and Phillip are Canadian, just like my brother."
150,"00:07:50,715","00:07:52,632",There's the girI that I like
151,"00:07:52,717","00:07:54,801","Hey, Stan, tell them about when Terrance called Phillip"
152,"00:07:54,885","00:07:56,469",a testicle-shitting rectal wart.
153,"00:07:56,554","00:07:59,931",Now more than ever she gives me butterflies
154,"00:08:00,016","00:08:03,685",It makes my stomach queasy every time she walks by
155,"00:08:03,769","00:08:05,395","Asshole, I'm talking to you."
156,"00:08:05,479","00:08:08,606",I know I can be cool if I try
157,"00:08:08,733","00:08:09,691","Hi, Stan."
158,"00:08:10,860","00:08:11,901",Gross!
159,"00:08:12,820","00:08:15,655","Come, Wendy. Let us try to jump the hilly brush."
160,"00:08:15,740","00:08:17,657","- Who are you, kid? - My name is Gregory."
161,"00:08:17,742","00:08:21,036","I just transferred from Yardale, where I had a 4.0 grade point average."
162,"00:08:21,120","00:08:22,370",Wanna skate with us?
163,"00:08:22,455","00:08:23,496",We've been skating all morning
164,"00:08:23,581","00:08:26,458",and laughing and talking of memories past.
165,"00:08:26,542","00:08:28,335",We saw the Terrance and Phillip movie.
166,"00:08:28,419","00:08:29,419",Uh-huh!
167,"00:08:29,503","00:08:31,588","Try and catch me, Wendy."
168,"00:08:32,506","00:08:33,923","Bye, Stan."
169,"00:08:37,428","00:08:39,679","Yes, yes, I saw the Terrance and Phillip movie."
170,"00:08:39,764","00:08:41,681",Who wants to touch me?
171,"00:08:41,766","00:08:44,434",I said who wants to fucking touch me?
172,"00:08:44,518","00:08:45,518",Ooh!
173,"00:08:45,603","00:08:49,773","Come on, gang! We've gotta see the Terrance and Phillip movie, too!"
174,"00:08:51,901","00:08:53,651","I hate you, Kenny."
175,"00:08:58,491","00:09:00,742","Shut your fucking face, uncle fucka"
176,"00:09:00,826","00:09:02,994",You're a boner-biting bastard Uncle fucka...
177,"00:09:04,497","00:09:08,750","Okay, children, let's take our seats. We have a lot to learn today."
178,"00:09:09,293","00:09:11,127","We sure do, Mr. Hat."
179,"00:09:11,462","00:09:14,547","Okay, children. Let's start the day with a few new math problems."
180,"00:09:14,632","00:09:16,549",What is five times two?
181,"00:09:18,052","00:09:21,596","Come on, children. Don't be shy. Just give it your best shot."
182,"00:09:21,680","00:09:23,223","- Yes, Clyde? - Twelve?"
183,"00:09:23,307","00:09:25,058",Okay. Now let's try to get an answer
184,"00:09:25,142","00:09:27,394",from someone who's not a complete retard.
185,"00:09:27,478","00:09:29,813","Anyone? Come on, don't be shy."
186,"00:09:29,897","00:09:31,272","I think I know the answer, Mr. Garrison."
187,"00:09:32,483","00:09:35,276","- Shut up, fat boy! - Hey! Don't call me fat, you fucking Jew!"
188,"00:09:35,361","00:09:37,487","Eric, did you just say the ""F"" word?"
189,"00:09:37,947","00:09:39,531","- Jew? - No. He's talking about ""fuck."""
190,"00:09:39,615","00:09:41,241","You can't say ""fuck"" in school, you fucking fat-ass!"
191,"00:09:41,325","00:09:42,784",- Kyle! - Why the fuck not?
192,"00:09:42,868","00:09:43,952","- Eric! - Dude, you just said ""fuck"" again!"
193,"00:09:44,036","00:09:45,036",Stanley!
194,"00:09:46,163","00:09:47,205",- Kenny! - What's the big deal?
195,"00:09:47,289","00:09:49,416","It doesn't hurt anybody. Fuck, fuckity, fuck, fuck, fuck."
196,"00:09:49,500","00:09:51,960",How would you like to go see the school counselor?
197,"00:09:52,044","00:09:53,920",How would you like to suck my balls?
198,"00:09:55,339","00:09:56,965",What did you say?
199,"00:09:57,049","00:10:00,343","I'm sorry. I'm sorry. Actually, what I said was..."
200,"00:10:01,095","00:10:05,473","How would you like to suck my balls, Mr. Garrison?"
201,"00:10:06,767","00:10:07,892","Holy shit, dude."
202,"00:10:10,146","00:10:13,815","Well, I must say, I'm very disappointed in you boys, m'kay?"
203,"00:10:13,899","00:10:15,525",You should be ashamed of yourselves.
204,"00:10:15,609","00:10:17,110",And I've already called in your mothers...
205,"00:10:17,194","00:10:18,945",- You called my mom? - That's right.
206,"00:10:19,029","00:10:21,656","- Oh, no, dude! - Mr. Mackey, can I ask a question?"
207,"00:10:21,740","00:10:22,782",M'kay. What?
208,"00:10:22,867","00:10:24,742","- What's the big fucking deal, bitch? - Yeah."
209,"00:10:24,827","00:10:28,955","Ah! Now I wanna know where you heard these horrific obscenities, m'kay?"
210,"00:10:29,039","00:10:30,039",Nowhere.
211,"00:10:30,124","00:10:32,041",We heard them from Mr. Garrison a few times before.
212,"00:10:32,126","00:10:33,751","- Yeah. - Boys, I seriously doubt"
213,"00:10:33,836","00:10:35,795","that Mr. Garrison ever said,"
214,"00:10:35,880","00:10:38,548","""Eat penguin shit, you ass spelunker."""
215,"00:10:40,426","00:10:41,676",Sweet.
216,"00:10:42,887","00:10:44,012",Uh-oh!
217,"00:10:45,639","00:10:47,724",Thank you all for coming on such short notice.
218,"00:10:47,808","00:10:49,309","This just isn't like you, Stanley."
219,"00:10:49,393","00:10:52,770","What did my son say, Mr. Mackey? Did he say the ""S"" word?"
220,"00:10:52,855","00:10:55,523","- No, it was worse than that. - The ""F"" word?"
221,"00:10:55,608","00:10:59,152","Well, here's a short list of the things they've been saying, m'kay?"
222,"00:10:59,236","00:11:02,155",- Oh! Dear God! - What the heck is a rim job?
223,"00:11:02,239","00:11:03,990",Why that's when you put your legs behind your head
224,"00:11:04,074","00:11:06,409",and have someone lick your ass.
225,"00:11:07,953","00:11:10,497","Young man, you will tell Mr. Mackey this instant"
226,"00:11:10,581","00:11:12,332",where you heard all these horrible phrases!
227,"00:11:12,416","00:11:13,541",I... I...
228,"00:11:13,626","00:11:15,001",We can't tell you. We all took a sacred oath
229,"00:11:15,085","00:11:16,169",and swore ourselves to secrecy.
230,"00:11:16,253","00:11:17,837",- It was the Terrance and Phillip movie. - Dude!
231,"00:11:17,922","00:11:19,672",What? Fuck you guys! I wanna get out of here!
