number_of_dialog,start_time,end_time,dialog
1,"00:00:46,077","00:00:49,956",<i>The world of investing can be a jungle.</i>
2,"00:00:50,498","00:00:52,208",<i>Bulls. Bears.</i>
3,"00:00:52,834","00:00:54,169",<i>Danger at every turn.</i>
4,"00:00:54,711","00:01:00,300",<i>That's why we at Stratton Oakmont pride ourselves on being the best.</i>
5,"00:01:00,592","00:01:04,846",<i>Trained professionals to guide you through the financial wilderness.</i>
6,"00:01:05,263","00:01:06,931",<i>Stratton Oakmont.</i>
7,"00:01:07,515","00:01:08,892",<i>Stability.</i>
8,"00:01:09,350","00:01:10,685",<i>Integrity.</i>
9,"00:01:11,394","00:01:12,562",<i>Pride.</i>
10,"00:01:14,939","00:01:15,982",<i>One!</i>
11,"00:01:16,691","00:01:17,775",Two!
12,"00:01:18,276","00:01:19,444",Three!
13,"00:01:25,241","00:01:28,453",Twenty-five grand to the first cocksucker to nail a bull's-eye!
14,"00:01:29,787","00:01:31,289",Come on! Let's go!
15,"00:01:32,707","00:01:33,958",One!
16,"00:01:34,417","00:01:35,460",Two!
17,"00:01:36,419","00:01:37,670",Three!
18,"00:01:38,213","00:01:40,298",<i>My name is Jordan Belfort.</i>
19,"00:01:40,381","00:01:41,591",<i>Not him.</i>
20,"00:01:41,716","00:01:43,384",<i>Me. That's right.</i>
21,"00:01:43,468","00:01:45,345",<i>I'm a former member of the middle class</i>
22,"00:01:45,428","00:01:49,307","<i>raised by two accountants in a tiny apartment in Bayside, Queens.</i>"
23,"00:01:49,724","00:01:53,061","<i>The year I turned 26, as the head of my own brokerage firm,</i>"
24,"00:01:53,144","00:01:55,772","<i>I made $49 million,</i>"
25,"00:01:55,855","00:01:59,275",<i>which really pissed me off because it was three shy of a million a week.</i>
26,"00:02:03,613","00:02:05,573","<i>No, no, no. My Ferrari was white,</i>"
27,"00:02:05,657","00:02:08,826",<i>like Don Johnson's in</i> Miami Vice. <i>Not red.</i>
28,"00:02:13,164","00:02:15,375",<i>See that humongous estate down there?</i>
29,"00:02:15,458","00:02:16,793",<i>That's my house.</i>
30,"00:02:17,001","00:02:18,419",<i>For millionaires whose ships...</i>
31,"00:02:18,503","00:02:22,757","<i>My wife, Naomi, the Duchess of Bay Ridge, Brooklyn,</i>"
32,"00:02:22,840","00:02:24,968",<i>a former model and Miller Lite girl.</i>
33,"00:02:25,927","00:02:27,095",<i>Yeah.</i>
34,"00:02:27,178","00:02:29,722",<i>She was the one with my cock in her mouth in the Ferrari.</i>
35,"00:02:29,806","00:02:32,350",<i>So put your dick back in your pants.</i>
36,"00:02:32,517","00:02:35,144","<i>In addition to Naomi and my two perfect kids,</i>"
37,"00:02:35,228","00:02:37,105","<i>I own a mansion, private jet,</i>"
38,"00:02:37,188","00:02:38,815","<i>six cars, three horses,</i>"
39,"00:02:38,898","00:02:42,485","<i>two vacation homes, and a 170-foot yacht.</i>"
40,"00:02:43,695","00:02:45,405",<i>Anchors aweigh!</i>
41,"00:02:48,992","00:02:52,161",<i>I also gamble like a degenerate. I drink like a fish.</i>
42,"00:02:52,245","00:02:55,039","<i>I fuck hookers maybe five, six times a week.</i>"
43,"00:02:55,123","00:02:57,959",<i>I have three different federal agencies looking to indict me.</i>
44,"00:02:58,126","00:03:00,712","<i>Oh, yeah, and I love drugs.</i>"
45,"00:03:06,092","00:03:07,218",Okay.
