,tweet,label
0,As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0
1,boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place,1
2,Dawg  : You ever fuck a bitch and she start to cry? You be confused as shit,1
3,she look like a tranny,1
4,The shit you hear about me might be true or it might be faker than the bitch who told it to ya,1
5,""": The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes """,1
6,""": I can not just sit up and HATE on another bitch .. I got too much shit going on""",1
7,: cause I'm tired of you big bitches coming for us skinny girls,1
8,""" &amp; you might not get ya bitch back &amp; thats that """,1
9,"""  :hobbies include: fighting Mariam""

bitch",1
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
11,""" Murda Gang bitch its Gang Land """,1
12,""" So hoes that smoke are losers ? "" yea ... go on IG",1
13,""" bad bitches is the only thing that i like """,1
14,""" bitch get up off me """,1
15,""" bitch nigga miss me with it """,1
16,""" bitch plz whatever """,1
17,""" bitch who do you love """,1
18,""" bitches get cut off everyday B """,1
19,""" black bottle &amp; a bad bitch """,1
20,""" broke bitch cant tell me nothing """,1
21,""" cancel that bitch like Nino """,1
22,""" cant you see these hoes wont change """,1
23,""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up",1
24,""" got ya bitch tip toeing on my hardwood floors ""  http:",1
25,""" her pussy lips like Heaven doors """,1
26,""" hoe what its hitting for """,1
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill """,1
28,""" i need a trippy bitch who fuck on Hennessy """,1
29,""" i spend my money how i want bitch its my business """,1
30,""" i txt my old bitch my new bitch pussy wetter """,1
31,""" i'd say im back to the old me but my old bitches would get excited """,1
32,""" if you aint bout that Murder Game pussy nigga shut up """,1
33,""" if you're toes ain't done you pussy stinks """,1
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1
35,""" is that ya bitch """,1
36,""" it aint nothing to cut a bitch off """,1
37,""" jus meet son now he ya mane ass bitches """,1
38,""" lames crying over hoes thats tears of a clown """,1
39,""" like Snoop said in 94 we dont love these hoes """,1
40,""" momma said no pussy cats inside my doghouse """,0
41,""" most hated but the hoes favorite ""   # http:",1
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http:",1
43,""" pimps up pimps up hoes down "" Future voice",1
44,""" post a picture of that pussy get 200 likes """,1
45,""" pussy is a powerful drug ""   http:",1
46,""" quick piece of pussy call it a drive by """,1
47,""" running round here like some brand new pussy thats bout to get fucked """,1
48,""" these bitches even worst they'll send them guys for you """,1
49,""" these hoes like niggas that spend money not talk bout it """,1
50,""" we dont trust these niggas all these bitches """,1
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,1
52,""" you dodge a bullet ""  : ""All da bitches I cut off pregnant or bound to be ....thank God """,1
53,""" young Pill Chamberlain these bitches love my music """,1
54,""": Teanna Trump probably cleaner than most of these twitter hoes but.........""",1
55,""": Gay niggas couldn't wait to act like bitches tonight""",1
56,""": And ima steal his cat n replace it with a pitbull   :  He a bitch you should do it""",1
57,"""&amp; he's gone always be a hoe""",1
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1
59,"""..All I wanna do is get money and fuck model bitches"" - Russell Simmons",1
60,""": I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet",1
61,""": I'm a fucking fag they said""",1
62,""": Females think dating a pussy is cute now? http:"" how does doing this stuff make him a pussy?",1
63,""": -SimplyAddictedToGuys http:"" woof woof hot scally lad",0
64,""": Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1
65,""": How u gone bring ur side bitch to a game where You know Ya gf friends at ? "" I SWEAR",1
66,""": http:"" woof woof and hot soles",0
67,""": Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
68,""":   bitch fuck u http:"" maybe you'll get better. Just http:",1
69,""": Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1
70,""": Why the eggplant emoji doe?""y he say she looked like scream lmao",0
71,""": Hennessey Venom GT  http:"" that's one sexy bitch",1
72,""": Him seh me pussy wetter then a shower curtain...."";lmao",1
73,""":  and every  need to see that pic I just posted because that bitch just said the most racist shit""",1
74,""": Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http:""",1
75,""": baby monkey bathtime http:""
Awwwwe This is soooo ADORABLE",0
76,""":  I ain't shit ."" Damn Skippy lol",1
77,""": u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b ;30%chance",1
78,""":  http:"" 0 rings 0 mvps 0 bitches lol",1
79,""": ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn """,1
80,""": The facts on tattoos...tattoo http:"" he's a pussy with not tattooing them nipples",1
81,""":    Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches..",1
82,""": Get worshiping bitch http:"" woof woof",1
83,""": Wow.   I'm lost. Are those buttcheek piercings? http:"" yeah she's a hoe",1
84,""": Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1
85,""":   queer"" gaywad",2
87,""":  faggot read my tweets after dat k"" it wasn't even funny lol",1
