number_of_dialog,start_time,end_time,dialog
1,"00:04:18,937","00:04:21,624",Who's that stumbling around in the dark?
2,"00:04:22,138","00:04:25,580",State your business or prepare to get winged!
3,"00:04:26,309","00:04:28,787","Calm yourselves, gentlemen."
4,"00:04:28,853","00:04:30,530",I mean you no harm.
5,"00:04:31,356","00:04:34,362",I'm simply a fellow weary traveler.
6,"00:04:34,707","00:04:35,889",Oh boy.
7,"00:04:37,678","00:04:39,416","Good cold evening, gentlemen."
8,"00:04:39,457","00:04:41,969",I'm looking for a pair of slave traders
9,"00:04:41,971","00:04:43,846",that go by the name of the Speck Brothers.
10,"00:04:43,989","00:04:45,074",Might that be you?
11,"00:04:46,913","00:04:47,999",Who wants to know?
12,"00:04:48,208","00:04:49,341","Well, I do."
13,"00:04:49,832","00:04:51,980","I'm Dr. King Schultz. This is my horse, Fritz."
14,"00:04:53,684","00:04:54,907",What kinda doctor?
15,"00:04:55,671","00:04:56,597",Dentist.
16,"00:04:57,132","00:04:58,540","Now, are you the Speck Brothers?"
17,"00:04:58,591","00:05:00,133",And did you purchase those men
18,"00:05:00,157","00:05:01,515",at the Greenville slave auction?
19,"00:05:01,552","00:05:02,353",So what?
20,"00:05:02,354","00:05:04,471",So I wish to parley with you.
21,"00:05:04,542","00:05:05,541",Speak English.
22,"00:05:06,214","00:05:07,257",Oh sorry.
23,"00:05:07,809","00:05:10,019",Please forgive me. It is a second language.
24,"00:05:10,186","00:05:13,760","Now, amongst your inventory, I've been led to believe,"
25,"00:05:13,838","00:05:15,914",is a specimen I'm keen to acquire.
26,"00:05:16,437","00:05:17,897","Hello, you poor devils!"
27,"00:05:19,028","00:05:22,037",Is there one amongst you who was formerly a resident
28,"00:05:22,039","00:05:24,565",of the Carrucan plantation?
29,"00:05:26,014","00:05:27,799",I'm from the Carrucan plantation.
30,"00:05:29,924","00:05:30,803",Who said that?
31,"00:06:18,254","00:06:19,369",What's your name?
32,"00:06:23,801","00:06:24,853",Django.
33,"00:06:26,178","00:06:28,335",Then you are exactly the one I'm looking for.
34,"00:06:30,475","00:06:32,195",Do you know who the Brittle Brothers are?
35,"00:06:36,665","00:06:37,666",Who are they?
36,"00:06:39,882","00:06:40,828",Big John.
37,"00:06:42,153","00:06:42,993",Ellis.
38,"00:06:44,906","00:06:45,685",Roger.
39,"00:06:46,097","00:06:47,165",Sometime they call him...
40,"00:06:47,572","00:06:48,623",Lil Raj.
41,"00:06:50,203","00:06:52,328",They was overseers at the Carrucan plantation.
42,"00:06:52,580","00:06:53,664",Not anymore.
43,"00:06:56,837","00:06:57,794",Tell me...
44,"00:06:58,482","00:07:01,454","if you were to see any of these three gentlemen again,"
45,"00:07:01,456","00:07:03,092",would you recognize them? Hey.
46,"00:07:04,284","00:07:05,665",Stop talking to him like that.
47,"00:07:05,864","00:07:06,714",Like What?
48,"00:07:07,296","00:07:08,245",Like that.
49,"00:07:08,568","00:07:11,216","My good man, I'm simply trying to ascertain..."
50,"00:07:11,218","00:07:12,394","Speak English, goddamn it."
51,"00:07:13,230","00:07:15,216",Everybody calm down.
52,"00:07:15,276","00:07:16,966","I'm simply a customer,"
53,"00:07:16,967","00:07:19,310",trying to conduct a transaction.
54,"00:07:19,357","00:07:20,219",I don't care.
55,"00:07:20,487","00:07:21,984","No sale. Now, off with you."
56,"00:07:22,966","00:07:25,154",Don't be ridiculous. Of course they're for sale.
57,"00:07:25,879","00:07:26,920",Move it.
58,"00:07:27,805","00:07:28,919","My good man,"
59,"00:07:29,154","00:07:32,661",did you simply get carried away with your dramatic gesture
60,"00:07:32,663","00:07:36,056",or are you pointing your weapon at me with lethal intention?
61,"00:07:37,856","00:07:39,431","Last chance, fancy pants."
62,"00:07:40,878","00:07:42,504","Oh, very well."
63,"00:08:12,340","00:08:14,759","I'm sorry to put a bullet in your beast,"
64,"00:08:14,793","00:08:16,844",but I didn't want you to do anything rash
65,"00:08:16,846","00:08:18,958",before you had a moment to come to your senses.
66,"00:08:19,743","00:08:22,430",You goddamn son of a bitch!
67,"00:08:22,984","00:08:25,089",You shot Roscoe! Well...
68,"00:08:25,673","00:08:27,161",And you killed Ace!
69,"00:08:27,550","00:08:30,305",I only shot your brother once he threatened to shoot me.
70,"00:08:30,601","00:08:33,222","And I do believe I have... one, two, three, four..."
71,"00:08:33,529","00:08:35,141","five witnesses,"
72,"00:08:35,142","00:08:36,350",who can attest to that fact.
73,"00:08:36,702","00:08:38,357",Damn leg's busted!
74,"00:08:38,444","00:08:39,481",No doubt.
75,"00:08:39,671","00:08:42,597","Now, if you could keep your caterwauling down to a minimum,"
76,"00:08:42,599","00:08:45,405",I'd like to finish my line of inquiry with young Django.
77,"00:08:49,614","00:08:51,689",God-fucking-damn it!
78,"00:08:51,691","00:08:52,662",As I was saying...
79,"00:08:53,413","00:08:55,661","if you were to see the Brittle Brothers,"
80,"00:08:55,662","00:08:57,125",again you could recognize them?
81,"00:08:57,622","00:08:58,489",Yeah.
82,"00:08:59,631","00:09:00,924",Sold American!
83,"00:09:00,958","00:09:02,177","So, Mr. Speck?"
84,"00:09:02,178","00:09:04,579",Mr. Speck? How much for young Django here?
85,"00:09:10,366","00:09:12,595",That iron is nasty business.
86,"00:09:18,222","00:09:19,910","Oh, could you hold this for a moment?"
87,"00:09:22,313","00:09:23,347",Thank you.
88,"00:09:23,348","00:09:24,121",Django?
89,"00:09:24,277","00:09:25,579",Get up on that horse.
90,"00:09:26,278","00:09:27,734","Also, if I were you,"
91,"00:09:28,086","00:09:31,896",I'd take that winter coat the dear departed Speck left behind.
92,"00:09:46,128","00:09:46,973",Nigger!
93,"00:09:47,197","00:09:49,683",Don't you touch my brother's coat.
94,"00:10:01,539","00:10:03,035",Goddamn it!
95,"00:10:07,772","00:10:09,098",One hundred...
96,"00:10:09,651","00:10:10,593",ten...
97,"00:10:11,294","00:10:12,320",20...
98,"00:10:12,960","00:10:14,448",and five...
99,"00:10:15,935","00:10:17,102",for young Django here.
100,"00:10:17,233","00:10:19,647","And since he won't be needing it anymore,"
101,"00:10:19,649","00:10:21,835",I'd like to purchase your brother's nag.
102,"00:10:22,698","00:10:23,720","Also,"
103,"00:10:23,926","00:10:25,002","Mr. Speck,"
104,"00:10:25,003","00:10:27,545",I'm afraid I will require a bill of sale.
105,"00:10:27,712","00:10:28,635",Do you have one?
106,"00:10:29,858","00:10:31,860","You go to hell, dentist."
107,"00:10:32,968","00:10:33,952",I thought not.
108,"00:10:34,930","00:10:35,925",No worries.
109,"00:10:36,678","00:10:37,886",I come prepared.
110,"00:10:42,482","00:10:43,416",Thank you.
111,"00:10:44,429","00:10:46,308","This will serve nicely,"
112,"00:10:46,309","00:10:47,779",as a bill of sale.
113,"00:11:05,609","00:11:08,434","Now, as to you poor devils."
114,"00:11:09,567","00:11:10,850","So, as I see it,"
115,"00:11:11,641","00:11:14,033","when it comes to the subject of what to do next,"
116,"00:11:14,423","00:11:15,908",you gentlemen have...
117,"00:11:15,909","00:11:17,038",two choices.
118,"00:11:17,507","00:11:18,082",One.
119,"00:11:18,730","00:11:19,808","Once I'm gone,"
120,"00:11:20,238","00:11:22,786","you could lift that beast off the remaining Speck,"
121,"00:11:22,788","00:11:24,477",then carry him to the nearest town.
122,"00:11:24,747","00:11:27,937",Which would be at least 37 miles back the way you came.
123,"00:11:28,535","00:11:29,340",Or two.
124,"00:11:30,699","00:11:32,327","You could unshackle yourselves,"
125,"00:11:32,998","00:11:34,070","take that rifle,"
126,"00:11:34,394","00:11:35,572","put a bullet in his head,"
127,"00:11:35,768","00:11:37,090","bury the two of them deep,"
128,"00:11:37,262","00:11:40,493",and then make your way to a more enlightened area of this country.
129,"00:11:41,694","00:11:42,709",Choice is yours.
130,"00:11:43,591","00:11:47,474","And on the off chance there are any astronomy aficionados amongst you,"
131,"00:11:47,528","00:11:49,973",the North Star is that one.
132,"00:11:52,055","00:11:52,883",Tada.
133,"00:12:10,044","00:12:11,476","Now wait a minute, fellas."
134,"00:12:11,645","00:12:13,305",Let's talk about this!
135,"00:12:17,613","00:12:20,907",You got to be reasonable in a situation like this!
136,"00:12:22,493","00:12:25,496",I'm not a bad guy. I'm just doing my job!
137,"00:12:25,663","00:12:26,618","Blueberry,"
138,"00:12:27,132","00:12:29,104",didn't I give you my last apple?
139,"00:12:29,660","00:12:30,699","Tell you what, boys."
140,"00:12:30,916","00:12:32,533","Take me to the doc in El Paso,"
141,"00:12:32,877","00:12:34,263",I'll get you your freedom.
142,"00:12:34,903","00:12:36,357","No. No, please..."
143,"00:13:23,846","00:13:25,222","Alright, now."
144,"00:13:25,389","00:13:27,642","I'd like you to take two of these tonight,"
145,"00:13:28,159","00:13:29,485",and then in the morning...
146,"00:13:32,208","00:13:33,558",That's a nigger on a horse.
147,"00:13:59,518","00:14:00,935",What's everybody staring at?
148,"00:14:01,461","00:14:03,481",They ain't never seen no nigger on a horse before.
149,"00:14:27,117","00:14:28,861","Good morning, innkeeper!"
150,"00:14:30,698","00:14:32,776",Two beers for two weary travelers.
151,"00:14:32,944","00:14:34,833",It's still a bit early.
152,"00:14:35,191","00:14:37,141",We won't be open for another hour.
153,"00:14:37,797","00:14:39,494","By then, we'll be serving breakfast."
154,"00:14:42,646","00:14:44,906","What the hell you think you're doing, boy?"
155,"00:14:45,177","00:14:46,786",Get that nigger outta here!
156,"00:14:52,270","00:14:54,075",Help! Help!
157,"00:14:54,140","00:14:55,131",Innkeeper!
158,"00:14:55,490","00:14:56,383","Remember,"
159,"00:14:56,384","00:14:58,350","get the sheriff, not the marshal."
160,"00:14:58,710","00:15:00,357",Sheriff! Help!
161,"00:15:00,835","00:15:01,681",Alas.
162,"00:15:03,362","00:15:05,906",Now we must act as our own bartender.
163,"00:15:08,325","00:15:09,873","Sit down, my boy."
164,"00:15:20,019","00:15:21,348",What kind of dentist are you?
165,"00:15:23,465","00:15:28,053","Despite that cart, I haven't practiced dentistry in five years."
166,"00:15:32,987","00:15:35,192","But these days, I practice a new profession..."
167,"00:15:38,461","00:15:39,503",bounty hunter.
168,"00:15:46,374","00:15:47,882",Do you know what a bounty hunter is?
169,"00:15:48,699","00:15:49,413",No.
170,"00:15:49,767","00:15:50,602",Well...
171,"00:15:52,745","00:15:56,874","the way the slave trade deals in human lives for cash,"
172,"00:15:57,041","00:15:59,223",a bounty hunter deals in corpses.
173,"00:16:00,713","00:16:01,246",Hat.
174,"00:16:05,507","00:16:06,372",Prost.
175,"00:16:15,428","00:16:18,104",The state places a bounty on a man's head.
176,"00:16:18,187","00:16:21,184","I track that man, I find that man, I kill that man."
177,"00:16:21,186","00:16:25,190","After I've killed him, I transport that man's corpse back to the authorities."
178,"00:16:25,575","00:16:27,700",Sometimes that's easier said than done.
179,"00:16:27,905","00:16:30,089","I show that corpse to the authorities,"
180,"00:16:30,090","00:16:32,576","proving yes, indeed, I truly have killed him,"
181,"00:16:32,743","00:16:35,197",at which point the authorities pay me the bounty.
182,"00:16:35,913","00:16:36,465","So,"
183,"00:16:36,926","00:16:39,573","like slavery, it's a flesh for cash business."
184,"00:16:40,876","00:16:41,924",What's a bounty?
185,"00:16:45,673","00:16:47,132",It's like a reward.
186,"00:16:47,798","00:16:48,904",You kill people?
187,"00:16:49,261","00:16:50,399",And they give you a reward?
188,"00:16:51,399","00:16:52,721","Certain people, yeah."
189,"00:16:53,106","00:16:54,058",Bad people?
190,"00:16:55,530","00:16:57,306","Badder they are, bigger the reward."
191,"00:16:58,443","00:16:59,777",Which brings me to you.
192,"00:17:00,771","00:17:03,993","And I must admit, I'm at a bit of a quandary when it comes to you."
193,"00:17:05,431","00:17:07,611","On one hand, I despise slavery."
194,"00:17:07,937","00:17:09,297","On the other hand,"
195,"00:17:10,177","00:17:11,219",I need your help.
196,"00:17:11,221","00:17:13,771","If you're not in a position to refuse, all the better."
197,"00:17:15,425","00:17:16,644","So, for the time being,"
198,"00:17:16,645","00:17:19,522",I'm gonna make this slavery malarkey work to my benefit.
199,"00:17:20,541","00:17:21,324","Still,"
200,"00:17:21,810","00:17:22,844","having said that,"
201,"00:17:24,111","00:17:25,118",I feel guilty.
202,"00:17:26,944","00:17:27,740","So,"
203,"00:17:28,766","00:17:32,136",I would like the two of us to enter into an agreement.
204,"00:17:39,371","00:17:40,964",I'm looking for the Brittle Brothers.
205,"00:17:45,785","00:17:47,422","However, at this endeavor,"
206,"00:17:47,496","00:17:49,295","I'm at a slight disadvantage,"
207,"00:17:49,829","00:17:51,877",insofar as I don't know what they look like.
208,"00:17:53,900","00:17:54,902",But you do.
209,"00:17:55,730","00:17:56,452",Don't ya?
210,"00:17:57,019","00:17:58,617",I know what they look like alright.
211,"00:17:59,188","00:17:59,853",Good.
212,"00:18:00,525","00:18:01,982",So here's my agreement.
213,"00:18:02,868","00:18:05,673",You travel with me until we find them. Where we going?
214,"00:18:06,323","00:18:09,139","I hear at least two of them are overseeing up in Gatlinburg,"
215,"00:18:09,148","00:18:10,423",but I don't know where.
216,"00:18:11,468","00:18:14,059",That means we visit every plantation
217,"00:18:14,060","00:18:15,764",in Gatlinburg till we find them.
218,"00:18:15,846","00:18:17,314","And when we find them,"
219,"00:18:18,338","00:18:19,609","you point them out,"
220,"00:18:19,610","00:18:20,732",and I kill them.
221,"00:18:22,258","00:18:23,300","You do that,"
222,"00:18:24,108","00:18:25,776","I agree to give you your freedom,"
223,"00:18:25,854","00:18:28,365",$25 per Brittle Brother.
224,"00:18:28,366","00:18:29,678",That's $75.
225,"00:18:30,171","00:18:32,242","And as if on cue,"
226,"00:18:32,243","00:18:33,697",here comes the sheriff.
227,"00:18:41,455","00:18:43,090","Ok, boys."
228,"00:18:43,394","00:18:44,484",Fun's over.
229,"00:18:45,862","00:18:46,838",Come on out.
230,"00:18:50,509","00:18:52,066","Alright folks,"
231,"00:18:52,815","00:18:54,176",calm down.
232,"00:18:55,219","00:18:56,670",Go about your business.
233,"00:18:58,123","00:18:59,998",These jokers will be gone soon.
234,"00:19:02,167","00:19:02,987","Now,"
235,"00:19:03,557","00:19:06,675",why you all wanna come into my town and start trouble?
236,"00:19:08,820","00:19:10,768",Scare all these nice people.
237,"00:19:12,248","00:19:14,493","You ain't got nothing better to do,"
238,"00:19:15,184","00:19:18,282",than to come into Bill Sharp's town
239,"00:19:18,422","00:19:20,684",and show your ass?
240,"00:19:29,366","00:19:31,098",What'd you just do to our sheriff?
241,"00:19:44,234","00:19:45,910",Now you can get the marshal.
242,"00:19:48,083","00:19:49,227",Marshal!
243,"00:19:49,313","00:19:50,261",Marshal!
244,"00:19:50,440","00:19:51,648",Should we wait inside?
245,"00:19:51,754","00:19:52,751",Can we just leave?
246,"00:19:52,860","00:19:53,707",After you.
247,"00:19:56,652","00:20:00,168",Move that buckboard a long ways across the street from the saloon.
248,"00:20:00,909","00:20:03,236","I want six men, six rifles behind it."
249,"00:20:04,085","00:20:06,326","I want two men, two rifles up on this roof."
250,"00:20:06,446","00:20:08,114","Two men, two rifles on that roof."
251,"00:20:08,792","00:20:10,976",All the barrels aimed at that front door.
252,"00:20:12,225","00:20:14,753",Somebody get poor Bill outta the goddamn street.
253,"00:20:16,091","00:20:17,223",You in the saloon!
254,"00:20:18,692","00:20:21,528",We got a hundred rifles aimed at every way out of that building.
255,"00:20:22,565","00:20:25,029",You got one chance to get out of this alive.
256,"00:20:26,476","00:20:29,164","You and your nigger come out right now with your hands over your head,"
257,"00:20:29,173","00:20:30,658",and I mean right now.
258,"00:20:32,232","00:20:35,652",Is this the marshal I have the pleasure of addressing?
259,"00:20:36,253","00:20:37,230","Yes, it is."
260,"00:20:37,993","00:20:39,865",This is U.S. Marshal Gill Tatum.
261,"00:20:40,274","00:20:42,023","Na wunderbar, marshal."
262,"00:20:42,826","00:20:46,413","I have relieved myself of all weapons,"
263,"00:20:46,979","00:20:49,554","and just as you have instructed,"
264,"00:20:49,789","00:20:52,336",I am ready to step outside
265,"00:20:52,718","00:20:54,162","with my hands,"
266,"00:20:54,163","00:20:56,362",raised above my head.
267,"00:20:57,949","00:21:00,359",I trust as a representative
268,"00:21:00,361","00:21:03,897","of the criminal justice system of the United States of America,"
269,"00:21:04,025","00:21:05,911",I shan't be shot down
270,"00:21:06,060","00:21:09,809",in the street by either you or your deputies
271,"00:21:10,005","00:21:12,648",before I've had my day in court.
272,"00:21:13,119","00:21:14,680",You mean like you did our sheriff.
273,"00:21:15,317","00:21:17,110",Shot him down like a dog in the street.
274,"00:21:17,277","00:21:19,613","Yes, that's exactly what I mean."
275,"00:21:19,780","00:21:21,979","Do I have your word as a lawman,"
276,"00:21:22,061","00:21:25,300",not to shoot me down like a dog in the street?
277,"00:21:28,789","00:21:29,553","Well,"
278,"00:21:29,742","00:21:32,495","much as we'd all enjoy seeing something like that,"
279,"00:21:32,497","00:21:35,086",ain't nobody gonna cheat the hangman in my town.
280,"00:21:36,371","00:21:37,719","Fair enough, marshal."
281,"00:21:37,861","00:21:38,962",Here we come.
282,"00:21:40,925","00:21:43,005",They're a little tense out there.
283,"00:21:43,464","00:21:46,632","So don't make any quick movements, and let me do the talking."
284,"00:21:48,611","00:21:49,609",Come ahead.
285,"00:21:56,900","00:21:57,994",You unarmed?
286,"00:21:58,318","00:21:59,479","Yes, indeed we are."
287,"00:22:00,779","00:22:01,706","Marshal Tatum,"
288,"00:22:01,761","00:22:04,596","may I address you and your deputies,"
289,"00:22:04,598","00:22:06,579","and apparently the entire town of Daughtrey,"
290,"00:22:06,581","00:22:08,665",as to the incident that just occurred?
291,"00:22:10,080","00:22:11,150",Go on. Thank you.
292,"00:22:12,995","00:22:15,138",My name is Dr. King Schultz.
293,"00:22:15,248","00:22:18,183","Like yourself marshal, I'm a servant of the court."
294,"00:22:18,697","00:22:20,378","The man lying dead in the dirt,"
295,"00:22:20,845","00:22:24,204","who the good people of Daughtrey saw fit to elect as their sheriff,"
