,movie_id,batch_id,majority_answer,text,movie_name
0,AmericanHistoryX(1998)_1,1566624979,0,Derek.,AmerricanHistoryX
1,AmericanHistoryX(1998)_2,1566624979,1,What the fuck are you thinking?,AmerricanHistoryX
2,AmericanHistoryX(1998)_3,1566624979,0,There's a black guy outside breaking into your car.,AmerricanHistoryX
3,AmericanHistoryX(1998)_4,1566624979,0,How long has he been there?,AmerricanHistoryX
4,AmericanHistoryX(1998)_5,1566624979,0,I don't know.,AmerricanHistoryX
5,AmericanHistoryX(1998)_6,1566624979,0,What's going on?,AmerricanHistoryX
6,AmericanHistoryX(1998)_7,1566624979,0,"Not right now, honey. How many?",AmerricanHistoryX
7,AmericanHistoryX(1998)_8,1566624979,0,"Danny, how many?",AmerricanHistoryX
8,AmericanHistoryX(1998)_9,1566624979,0,"One, I think.",AmerricanHistoryX
9,AmericanHistoryX(1998)_10,1566624979,0,Is he strapped?,AmerricanHistoryX
10,AmericanHistoryX(1998)_11,1566624979,0,Does he have a gun?,AmerricanHistoryX
11,AmericanHistoryX(1998)_12,1566624979,0,I don't fucking know.,AmerricanHistoryX
12,AmericanHistoryX(1998)_13,1566624979,0,Wait a second. What the fuck is going on?,AmerricanHistoryX
13,AmericanHistoryX(1998)_14,1566624979,0,Stay right here and be quiet.,AmerricanHistoryX
14,AmericanHistoryX(1998)_15,1566624979,0,"Wait a second, Derek. Wait.",AmerricanHistoryX
15,AmericanHistoryX(1998)_16,1566624979,0,Stay right here.,AmerricanHistoryX
16,AmericanHistoryX(1998)_17,1566624979,0,I don't have a personal problem with him.,AmerricanHistoryX
17,AmericanHistoryX(1998)_18,1566624979,0,"Don't insult my intelligence, Murray.",AmerricanHistoryX
18,AmericanHistoryX(1998)_19,1566624979,0,"You hate this child, and I think I know why.",AmerricanHistoryX
19,AmericanHistoryX(1998)_20,1566624979,0,Dr. Sweeney's office.,AmerricanHistoryX
20,AmericanHistoryX(1998)_21,1566624979,0,I went out with his mother a few times.,AmerricanHistoryX
21,AmericanHistoryX(1998)_22,1566624979,0,That was three years ago. It was nothing.,AmerricanHistoryX
22,AmericanHistoryX(1998)_23,1566624979,0,Nothing. Really?,AmerricanHistoryX
23,AmericanHistoryX(1998)_24,1566624979,0,"That paper- Bob, it's a travesty.",AmerricanHistoryX
24,AmericanHistoryX(1998)_25,1566624979,0,Arguing for Hitler as a civil rights hero.,AmerricanHistoryX
25,AmericanHistoryX(1998)_26,1566624979,0,You've got to draw the line.,AmerricanHistoryX
26,AmericanHistoryX(1998)_27,1566624979,0,on any book that related to the struggle for civil rights...,AmerricanHistoryX
27,AmericanHistoryX(1998)_28,1566624979,0,in plain English.,AmerricanHistoryX
28,AmericanHistoryX(1998)_29,1566624979,0,I am not disputing the fact that the child is confused...,AmerricanHistoryX
29,AmericanHistoryX(1998)_30,1566624979,0,and harbors some sick ideas...,AmerricanHistoryX
30,AmericanHistoryX(1998)_31,1566624979,0,but I am not ready to give up on him yet.,AmerricanHistoryX
